symbol;currency_base;currency_quote
"0xBTC/BTC";"0xBitcoin";"Bitcoin"
"0xBTC/ETH";"0xBitcoin";"Ethereum"
"0xBTC/USD";"0xBitcoin";"US Dollar"
"1INCH/BTC";"1inch";"Bitcoin"
"1INCH/INR";"1inch";"Indian Rupee"
"1INCH/USD";"1inch";"US Dollar"
"1ST/ETH";"FirstBlood";"Ethereum"
"1ST/USD";"FirstBlood";"US Dollar"
"2GIVE/USD";"2GIVE";"US Dollar"
"300/USD";"300 Token";"US Dollar"
"611/USD";"SixEleven";"US Dollar"
"808/USD";"808Coin";"US Dollar"
"888/BTC";"OctoCoin";"Bitcoin"
"888/USD";"OctoCoin";"US Dollar"
"8BIT/USD";"8Bit";"US Dollar"
"999/USD";"999";"US Dollar"
"AAC/BTC";"Acute Angle Cloud";"Bitcoin"
"AAC/USD";"Acute Angle Cloud";"US Dollar"
"AAVE/BRL";"Aave";"Brazil Real"
"AAVE/BTC";"Aave";"Bitcoin"
"AAVE/CAD";"Aave";"Canadian Dollar"
"AAVE/ETH";"Aave";"Ethereum"
"AAVE/EUR";"Aave";"Euro"
"AAVE/INR";"Aave";"Indian Rupee"
"AAVE/TRY";"Aave";"Turkish Lira"
"AAVE/USD";"Aave";"US Dollar"
"ABBC/BTC";"ABBC Coin";"Bitcoin"
"ABBC/USD";"ABBC Coin";"US Dollar"
"ABN/USD";"Abncoin";"US Dollar"
"ABT/USD";"Arcblock";"US Dollar"
"ABY/USD";"ArtByte";"US Dollar"
"ACA/BTC";"Acala Token";"Bitcoin"
"ACA/BUSD";"Acala Token";"Binance USD"
"ACAT/BTC";"Alphacat";"Bitcoin"
"ACAT/ETH";"Alphacat";"Ethereum"
"ACAT/USD";"Alphacat";"US Dollar"
"ACA/USD";"Acala Token";"US Dollar"
"ACC/USD";"AdCoin";"US Dollar"
"ACES/USD";"Aces";"US Dollar"
"ACH/USD";"Alchemy Pay";"US Dollar"
"ACN/USD";"Avoncoin";"US Dollar"
"ACOIN/BTC";"Acoin";"Bitcoin"
"ACOIN/USD";"Acoin";"US Dollar"
"ACP/USD";"AnarchistsPrime";"US Dollar"
"ACT/BTC";"Achain";"Bitcoin"
"ACT/ETH";"Achain";"Ethereum"
"ACT/USD";"Achain";"US Dollar"
"AC/USD";"AsiaCoin";"US Dollar"
"ADA/AUD";"Cardano";"Australian Dollar"
"ADA/BNB";"Cardano";"Binance Coin"
"ADA/BRL";"Cardano";"Brazil Real"
"ADA/BTC";"Cardano";"Bitcoin"
"ADA/CAD";"Cardano";"Canadian Dollar"
"ADA/CNY";"Cardano";"Chinese Yuan"
"ADA/ETH";"Cardano";"Ethereum"
"ADA/EUR";"Cardano";"Euro"
"ADA/HKD";"Cardano";"Hong Kong Dollar"
"ADA/ILS";"Cardano";"Israeli Shekel"
"ADA/INR";"Cardano";"Indian Rupee"
"ADA/KRW";"Cardano";"Korean Won"
"ADA/MXN";"Cardano";"Mexican Peso"
"ADA/MYR";"Cardano";"Malaysian Ringgit"
"ADA/PLN";"Cardano";"Polish Zloty"
"ADA/RUB";"Cardano";"Russian Ruble"
"ADA/SAR";"Cardano";"Saudi Riyal"
"ADA/SEK";"Cardano";"Swedish Krona"
"ADA/THB";"Cardano";"Thai Baht"
"ADA/TRY";"Cardano";"Turkish Lira"
"ADA/USD";"Cardano";"US Dollar"
"ADA/VND";"Cardano";"Vietnamese Dong"
"ADA/ZAR";"Cardano";"South African Rand"
"ADC/BTC";"AudioCoin";"Bitcoin"
"ADCN/USD";"Asiadigicoin";"US Dollar"
"ADC/USD";"AudioCoin";"US Dollar"
"ADS/BTC";"Adshares";"Bitcoin"
"ADS/LTC";"Adshares";"Litecoin"
"ADS/USD";"Adshares";"US Dollar"
"ADT/BTC";"adToken";"Bitcoin"
"ADT/KRW";"adToken";"Korean Won"
"ADT/USD";"adToken";"US Dollar"
"ADX/BTC";"AdEx";"Bitcoin"
"ADX/ETH";"AdEx";"Ethereum"
"ADX/USD";"AdEx";"US Dollar"
"ADZ/BTC";"Adzcoin";"Bitcoin"
"ADZ/USD";"Adzcoin";"US Dollar"
"AE/BTC";"Aeternity";"Bitcoin"
"AE/ETH";"Aeternity";"Ethereum"
"AEON/BTC";"AEON";"Bitcoin"
"AEON/USD";"AEON";"US Dollar"
"AERM/USD";"Aerium";"US Dollar"
"AE/USD";"Aeternity";"US Dollar"
"AGI/BTC";"SingularityNET";"Bitcoin"
"AGI/ETH";"SingularityNET";"Ethereum"
"AGI/USD";"SingularityNET";"US Dollar"
"AGRS/USD";"Agoras Tokens";"US Dollar"
"AGVC/BTC";"AgaveCoin";"Bitcoin"
"AGVC/USD";"AgaveCoin";"US Dollar"
"AIB/USD";"Advanced Internet Blocks";"US Dollar"
"AIDOC/BTC";"AI Doctor";"Bitcoin"
"AIDOC/ETH";"AI Doctor";"Ethereum"
"AIDOC/USD";"AI Doctor";"US Dollar"
"Aidos Kuneen/USD";"Aidos Kuneen";"US Dollar"
"AION/BTC";"Aion";"Bitcoin"
"AION/ETH";"Aion";"Ethereum"
"AION/USD";"Aion";"US Dollar"
"AIR/USD";"AirToken";"US Dollar"
"AI/USD";"POLY AI";"US Dollar"
"AIX/BNT";"Aigang";"Bancor"
"AIX/USD";"Aigang";"US Dollar"
"AKT/BTC";"Akash Network";"Bitcoin"
"AKT/ETH";"Akash Network";"Ethereum"
"AKT/USD";"Akash Network";"US Dollar"
"AKY/USD";"Akuya Coin";"US Dollar"
"ALGO/BTC";"Algorand";"Bitcoin"
"ALGO/ETH";"Algorand";"Ethereum"
"ALGO/INR";"Algorand";"Indian Rupee"
"ALGO/USD";"Algorand";"US Dollar"
"ALICE/BTC";"MyNeighborAlice";"Bitcoin"
"ALICE/EUR";"MyNeighborAlice";"Euro"
"ALICE/USD";"MyNeighborAlice";"US Dollar"
"ALIS/USD";"ALIS";"US Dollar"
"ALPHA/BTC";"Alpha Finance Lab";"Bitcoin"
"ALPHA/USD";"Alpha Finance Lab";"US Dollar"
"ALPINE/BTC";"Alpine F1 Team Fan Token";"Bitcoin"
"ALPINE/EUR";"Alpine F1 Team Fan Token";"Euro"
"ALPINE/TRY";"Alpine F1 Team Fan Token";"Turkish Lira"
"ALPINE/USD";"Alpine F1 Team Fan Token";"US Dollar"
