name;code;country;timezone
"CXA";"CXAC";"Australia";"Australia/Sydney"
"ASX";"XASX";"Australia";"Australia/Sydney"
"VSE";"XWBO";"Austria";"Europe/Vienna"
"Euronext";"XBRU";"Belgium";"Europe/Brussels"
"TSX";"XTSE";"Canada";"America/Toronto"
"NEO";"NEOE";"Canada";"America/Toronto"
"OMXC";"XCSE";"Denmark";"Europe/Copenhagen"
"OMXH";"XHEL";"Finland";"Europe/Helsinki"
"Euronext";"XPAR";"France";"Europe/Paris"
"XSTU";"XSTU";"Germany";"Europe/Berlin"
"XHAN";"XHAN";"Germany";"Europe/Berlin"
"XDUS";"XDUS";"Germany";"Europe/Berlin"
"XHAM";"XHAM";"Germany";"Europe/Berlin"
"XBER";"XBER";"Germany";"Europe/Berlin"
"Munich";"XMUN";"Germany";"Europe/Berlin"
"FSX";"XFRA";"Germany";"Europe/Berlin"
"XETR";"XETR";"Germany";"Europe/Berlin"
"ASE";"ASEX";"Greece";"Europe/Athens"
"HKEX";"XHKG";"Hong Kong";"Asia/Hong_Kong"
"BSE";"XBUD";"Hungary";"Europe/Budapest"
"NSE";"XNSE";"India";"Asia/Kolkata"
"BSE";"XBOM";"India";"Asia/Kolkata"
"IDX";"XIDX";"Indonesia";"Asia/Jakarta"
"ISE";"XDUB";"Ireland";"Europe/Dublin"
"TASE";"XTAE";"Israel";"Asia/Jerusalem"
"MTA";"XMIL";"Italy";"Europe/Rome"
"JPX";"XJPX";"Japan";"Asia/Tokyo"
"OMXV";"XLIT";"Lithuania";"Europe/Vilnius"
"BMV";"XMEX";"Mexico";"America/Swift_Current"
"Euronext";"XAMS";"Netherlands";"Europe/Amsterdam"
"OSE";"XOSL";"Norway";"Europe/Oslo"
"GPW";"XWAR";"Poland";"Europe/Warsaw"
"Euronext";"XLIS";"Portugal";"Europe/Lisbon"
"QE";"DSMD";"Qatar";"Asia/Qatar"
"MOEX";"MISX";"Russia";"Europe/Moscow"
"Tadawul";"XSAU";"Saudi Arabia";"Asia/Riyadh"
"SGX";"XSES";"Singapore";"Asia/Singapore"
"KRX";"XKRX";"South Korea";"Asia/Seoul"
"BME";"XMAD";"Spain";"Europe/Madrid"
"OMX";"XSTO";"Sweden";"Europe/Stockholm"
"SIX";"XSWX";"Switzerland";"Europe/Zurich"
"TWSE";"XTAI";"Taiwan";"Asia/Taipei"
"SET";"XBKK";"Thailand";"Asia/Bangkok"
"BIST";"XIST";"Turkey";"Europe/Istanbul"
"LSE";"XLON";"United Kingdom";"Europe/London"
"OTC";"OTCQ";"United States";"America/New_York"
"CBOE";"BATS";"United States";"America/New_York"
"NASDAQ";"XNMS";"United States";"America/New_York"
"NASDAQ";"XNGS";"United States";"America/New_York"
"NYSE";"ARCX";"United States";"America/New_York"
"OTC";"PSGM";"United States";"America/New_York"
"NYSE";"XNYS";"United States";"America/New_York"
"OTC";"EXPM";"United States";"America/New_York"
"NYSE";"XASE";"United States";"America/New_York"
"OTC";"PINX";"United States";"America/New_York"
